title,description,created_at,deadline,category,priority
Finish quarterly budget report,Compile expenditure data and finalize the budget report for Q2.,2025-06-28,2025-07-15,work,high
Schedule dentist appointment,Call Dr. Mehta's clinic to book your routine dental cleaning.,2025-07-05,2025-07-20,health,medium
Study for algorithms exam,Review sorting algorithms and solve last year's question papers.,2025-06-30,2025-07-18,education,high
Renew car insurance,Compare quotes and renew comprehensive car insurance online.,2025-07-02,2025-07-25,finance,low
Update project README,Add setup instructions and contribution guidelines to the GitHub repo.,2025-07-10,2025-07-14,project,medium
Submit final project report,Compile findings and submit the final report to professor.,2025-07-01,2025-07-15,education,high
Renew health insurance policy,Login to the portal and complete policy renewal process.,2025-07-03,2025-07-20,finance,medium
Book annual health check-up,Schedule appointment for general tests at nearby clinic.,2025-07-02,2025-07-18,health,medium
Prepare presentation slides,Create slides for Monday's marketing strategy meeting.,2025-07-04,2025-07-08,work,high
Clean bedroom closet,"Sort clothes, remove unused items, and reorganize.",2025-07-05,2025-07-15,home,low
Update LinkedIn profile,Add recent achievements and update profile photo.,2025-07-01,2025-07-10,career,medium
Research travel destinations for holiday,"Compare locations, weather, and activities.",2025-07-03,2025-07-25,travel,low
Practice sketching daily for 15 mins,Improve drawing skills through regular practice.,2025-07-01,2025-07-31,hobby,low
Fix layout bug in portfolio site,Resolve overlapping content in mobile view.,2025-07-05,2025-07-10,tech,medium
Volunteer for local tree plantation,Register online and attend the community event.,2025-07-02,2025-07-16,community,medium
Plan weekly team tasks,Break down sprint goals and assign responsibilities.,2025-07-01,2025-07-06,project,high
Organize study notes,Compile and digitize lecture notes for easy access.,2025-07-04,2025-07-18,education,medium
Pay internet bill online,Log in and complete payment to avoid service interruption.,2025-07-02,2025-07-05,finance,high
Replace kitchen light bulb,Buy bulb and install in kitchen ceiling.,2025-07-03,2025-07-09,home,low
Attend resume building webinar,Register for online session and take notes.,2025-07-05,2025-07-12,career,medium
Check passport expiry,Verify renewal need and book appointment.,2025-07-01,2025-07-20,personal,low
Create travel checklist,"Include documents, charger, snacks, and tickets.",2025-07-04,2025-07-14,travel,medium
Learn new ukulele chords,Follow online tutorial for daily practice.,2025-07-01,2025-07-28,hobby,low
Update antivirus software,Ensure latest version is running on laptop.,2025-07-03,2025-07-07,tech,medium
Set up GitHub project repo,Create README and initialize repository.,2025-07-01,2025-07-05,project,medium
Revise math for semester exam,Solve previous year papers and revise formulas.,2025-07-02,2025-07-22,education,high
Renew Netflix subscription,Update payment method before next billing date.,2025-07-03,2025-07-10,personal,low
Buy groceries for week,Create list and visit nearby supermarket.,2025-07-01,2025-07-03,home,medium
Prepare for HR interview,Read job description and practice mock answers.,2025-07-02,2025-07-11,career,high
Book bus tickets for weekend trip,Select seats and pay online.,2025-07-04,2025-07-07,travel,medium
Schedule weekend photography session,Pick location and pack gear.,2025-07-05,2025-07-10,hobby,low
Install VS Code extensions,Install required tools for web dev workflow.,2025-07-03,2025-07-08,tech,low
Contribute to open source issue,Choose beginner-friendly task and submit PR.,2025-07-01,2025-07-15,project,medium
Take vitamins daily,Set reminder for morning dose.,2025-07-01,2025-07-31,health,low
Submit tax documents,Upload scanned forms to government portal.,2025-07-01,2025-07-20,finance,high
Clean kitchen drawers,Remove expired items and wipe compartments.,2025-07-05,2025-07-12,home,low
Update job portal profiles,Refresh resume and contact details.,2025-07-03,2025-07-10,career,medium
Send birthday card to cousin,Write note and drop it at the post.,2025-07-01,2025-07-06,personal,low
Research cheapest flight to Mumbai,Use aggregator site to compare options.,2025-07-01,2025-07-10,travel,low
Upload new artwork to DeviantArt,Add description and category tags.,2025-07-04,2025-07-09,hobby,low
Back up laptop files to cloud,Organize and upload recent documents.,2025-07-01,2025-07-10,tech,high
Draft UI wireframes for new app,Design low-fidelity mockups for login flow.,2025-07-02,2025-07-14,project,high
Prepare cheat sheet for physics test,Condense formulas and laws on single page.,2025-07-01,2025-07-07,education,high
Join gym near apartment,Take trial and complete registration.,2025-07-03,2025-07-10,health,medium
Review monthly expenses,Update spreadsheet and categorize spend.,2025-07-01,2025-07-05,finance,medium
Rearrange living room furniture,Try new layout for more space.,2025-07-02,2025-07-10,home,low
Read blog about resume tips,Save favorite tips and apply them.,2025-07-01,2025-07-06,career,low
Plan solo weekend retreat,Look for budget stays and nature spots.,2025-07-03,2025-07-15,travel,medium
Practice landscape painting,Finish one painting this week.,2025-07-01,2025-07-10,hobby,medium
Update Python version on laptop,Uninstall old version and install latest.,2025-07-04,2025-07-09,tech,high
Close resolved tasks on Kanban board,Move completed cards to done column.,2025-07-02,2025-07-03,project,low
Create flashcards for biology,Use spaced repetition app for revision.,2025-07-01,2025-07-15,education,high
Book dentist appointment,Routine checkup and cleaning.,2025-07-01,2025-07-20,health,medium
Organize bank statements,Download PDFs and sort by date.,2025-07-03,2025-07-07,finance,low
Clean under the bed,Vacuum and declutter hidden items.,2025-07-01,2025-07-05,home,low
Write cover letter for internship,Personalize letter for company.,2025-07-02,2025-07-08,career,high
Confirm hotel booking details,Check email confirmation and amenities.,2025-07-01,2025-07-04,travel,low
Take keyboard lesson online,Follow YouTube beginner playlist.,2025-07-01,2025-07-31,hobby,medium
Set up SSH key for GitHub,Generate and link to account.,2025-07-03,2025-07-06,tech,medium
Join design review meeting,Share feedback on UI prototype.,2025-07-02,2025-07-03,project,medium
Revise for history quiz,Review chapters 3 to 5.,2025-07-01,2025-07-07,education,high
Refill asthma inhaler,Visit pharmacy with prescription.,2025-07-02,2025-07-06,health,high
Check credit card statement,Look for suspicious charges.,2025-07-03,2025-07-05,finance,medium
Dust ceiling fans,Use extendable duster.,2025-07-01,2025-07-04,home,low
Send follow-up email after interview,Thank them and ask about status.,2025-07-02,2025-07-06,career,high
Check railway timings for trip,Confirm platform and train schedule.,2025-07-01,2025-07-03,travel,low
Create digital scrapbook,Use Canva for layout and text.,2025-07-01,2025-07-20,hobby,low
Upgrade Node.js version,Test app after upgrade.,2025-07-03,2025-07-06,tech,high
Create roadmap for August features,List priorities and milestones.,2025-07-02,2025-07-09,project,high
Read assigned literature chapter,Finish chapter 7 and highlight key points.,2025-07-01,2025-07-04,education,medium
Order multivitamins,Compare brands online.,2025-07-01,2025-07-05,health,medium
Withdraw cash for weekend,Visit nearest ATM.,2025-07-01,2025-07-02,finance,low
Scrub bathroom tiles,Use vinegar and baking soda.,2025-07-03,2025-07-05,home,low
Update job application tracker,Add latest positions and status.,2025-07-02,2025-07-05,career,medium
Look up sightseeing spots in Jaipur,Create travel guide.,2025-07-01,2025-07-10,travel,low
Fix broken guitar string,Buy replacement string.,2025-07-01,2025-07-06,hobby,medium
Test browser compatibility for website,"Check Chrome, Safari, Firefox.",2025-07-03,2025-07-06,tech,medium
Conduct user testing session,Take feedback on onboarding flow.,2025-07-02,2025-07-08,project,high
Summarize lecture notes,Prepare short notes for revision.,2025-07-01,2025-07-03,education,high
Take daily walk in evening,20 minutes around block.,2025-07-01,2025-07-31,health,low
Pay mutual fund SIP,Auto-debit check.,2025-07-02,2025-07-04,finance,medium
Dust bookshelves,Use microfiber cloth.,2025-07-01,2025-07-03,home,low
Apply for online internship,Check eligibility and submit application.,2025-07-02,2025-07-10,career,high
Buy sleeper class train ticket,Use IRCTC app.,2025-07-01,2025-07-05,travel,low
Sketch portrait of friend,Use charcoal pencil.,2025-07-02,2025-07-09,hobby,medium
Install latest Chrome update,Restart after install.,2025-07-01,2025-07-02,tech,medium
Split tasks in Trello board,Create individual checklists.,2025-07-03,2025-07-04,project,medium
Watch math lecture video,Linear algebra module.,2025-07-01,2025-07-03,education,medium
Measure blood pressure weekly,Record values.,2025-07-01,2025-07-31,health,low
Generate PDF invoice for client,Send via email.,2025-07-02,2025-07-05,finance,high
Mop kitchen floor,Use disinfectant solution.,2025-07-01,2025-07-02,home,low
Update GitLab pipeline config,Fix broken deployment.,2025-07-03,2025-07-07,tech,high
Reply to recruiter email,Schedule interview slot.,2025-07-02,2025-07-04,career,high
Buy sunscreen lotion,Look for labels SPF 50+,2025-07-01,2025-07-03,personal,low
Finalize group project tasks,Assign remaining subtasks to team members.,2025-07-01,2025-07-08,project,high
Track monthly fitness progress,Record weight and muscle gain in app.,2025-07-02,2025-07-31,health,medium
Pay credit card bill before due,Clear outstanding balance to avoid interest.,2025-07-03,2025-07-10,finance,high
Clean balcony garden,Remove weeds and water plants.,2025-07-01,2025-07-04,home,low
Polish LinkedIn summary,Highlight skills and achievements.,2025-07-02,2025-07-09,career,medium
Book tickets for office trip,Coordinate with HR and finalize route.,2025-07-03,2025-07-14,travel,medium
Start digital art series,Pick theme and create first piece.,2025-07-01,2025-07-20,hobby,medium
Upgrade system RAM,Buy compatible module and install.,2025-07-02,2025-07-06,tech,medium
Submit proposal to NGO,Finalize document and email to coordinator.,2025-07-01,2025-07-07,community,high
Create presentation deck,Prepare 5 slides for project pitch.,2025-07-01,2025-07-05,work,high
Join online history forum,Register and introduce yourself.,2025-07-01,2025-07-03,education,low
Invest in SIP via mobile app,Select fund and start monthly auto-pay.,2025-07-02,2025-07-10,finance,medium
Organize kitchen containers,Label and clean all jars and boxes.,2025-07-01,2025-07-08,home,low
Apply for hackathon,Fill registration and submit team info.,2025-07-02,2025-07-11,career,high
Renew travel insurance,Choose plan and pay renewal premium.,2025-07-03,2025-07-15,travel,medium
Record time-lapse of painting,Set up camera before you start.,2025-07-01,2025-07-10,hobby,low
Update IDE to latest version,Download and restart system.,2025-07-01,2025-07-02,tech,medium
Host coding workshop for juniors,Prepare material and announce date.,2025-07-02,2025-07-18,community,high
Upload weekly status report,Share progress with manager.,2025-07-01,2025-07-05,work,high
Read PDF on neural networks,Highlight useful notes and save.,2025-07-01,2025-07-04,education,medium
Submit claim for travel reimbursement,Attach bills and travel tickets.,2025-07-03,2025-07-09,finance,medium
Replace broken drawer handle,Buy matching handle from hardware store.,2025-07-01,2025-07-06,home,low
Edit resume for data analyst job,Add new certification and projects.,2025-07-02,2025-07-07,career,high
Download offline map for trip,Use Google Maps or alternative.,2025-07-01,2025-07-05,travel,low
Post new poem on blog,Format and publish with image.,2025-07-01,2025-07-09,hobby,medium
Clean up old files in project repo,Delete outdated scripts and images.,2025-07-02,2025-07-06,tech,medium
Write welcome message for new community members,Post in Slack or forum.,2025-07-01,2025-07-03,community,low
Update project Kanban board,Move tickets to current sprint.,2025-07-01,2025-07-02,project,medium
Submit feedback for online course,Fill feedback form with suggestions.,2025-07-01,2025-07-04,education,low
Book appointment with physiotherapist,Call clinic for availability.,2025-07-03,2025-07-10,health,medium
Budget expenses for next month,Divide income across categories.,2025-07-01,2025-07-05,finance,medium
Buy cleaning supplies,Refill floor cleaner and brushes.,2025-07-01,2025-07-03,home,low
Apply for data science internship,Complete online form and attach resume.,2025-07-01,2025-07-08,career,high
Plan itinerary for trip to Kerala,Add places to visit and stay options.,2025-07-01,2025-07-10,travel,medium
Set time for photography session,Choose evening for good light.,2025-07-01,2025-07-04,hobby,low
Check webcam permissions for Zoom,Test before upcoming meetings.,2025-07-01,2025-07-02,tech,low
Publish monthly newsletter,Include events and updates.,2025-07-01,2025-07-06,community,medium
Review Q2 performance goals,Prepare notes for 1-on-1.,2025-07-01,2025-07-05,work,high
Join online physics webinar,Attend live session or watch replay.,2025-07-01,2025-07-04,education,medium
Buy multivitamins,Order from trusted pharmacy.,2025-07-01,2025-07-03,health,low
Setup UPI auto-pay for rent,Link to bank and schedule.,2025-07-01,2025-07-02,finance,medium
Declutter wardrobe,Donate clothes you don't wear.,2025-07-01,2025-07-07,home,low
Research job openings in data analytics,Browse portals and save listings.,2025-07-01,2025-07-10,career,high
Check hotel cancellation policy,Review terms before confirming.,2025-07-01,2025-07-03,travel,low
Sketch comic strip,Storyboard 4-panel sketch.,2025-07-01,2025-07-10,hobby,medium
Verify server SSL certificate,Renew if expiring soon.,2025-07-01,2025-07-06,tech,high
Draft event description for blood drive,Include date and contact details.,2025-07-01,2025-07-08,community,medium
Fix alignment bug on homepage,Check CSS margins.,2025-07-01,2025-07-04,project,medium
Re-read chemistry chapters 4 to 6,Highlight important reactions.,2025-07-01,2025-07-07,education,high
Book eye check-up appointment,Choose weekend slot.,2025-07-01,2025-07-09,health,medium
Download past bank statements,Archive for tax purposes.,2025-07-01,2025-07-03,finance,medium
Mop balcony floor,Remove dust and dry leaves.,2025-07-01,2025-07-02,home,low
Create list of recruiters to contact,Use LinkedIn and job fairs.,2025-07-01,2025-07-10,career,medium
Update train ticket PNR on calendar,Add time and seat details.,2025-07-01,2025-07-03,travel,low
Publish travel photo on Instagram,Write short caption.,2025-07-01,2025-07-05,hobby,low
Test login page validations,Enter invalid emails and check.,2025-07-01,2025-07-04,tech,medium
Create FAQs for community website,Write 5 common questions.,2025-07-01,2025-07-06,community,medium
Prepare team demo slides,Include screenshots and key metrics.,2025-07-01,2025-07-03,work,high
Solve 10 aptitude questions daily,Use online platform.,2025-07-01,2025-07-31,education,medium
Do 15 minutes of yoga,Follow beginner video.,2025-07-01,2025-07-31,health,low
Transfer funds to savings,Automate monthly transfer.,2025-07-01,2025-07-02,finance,medium
Vacuum sofa and cushions,Focus on corners and gaps.,2025-07-01,2025-07-03,home,low
Look for virtual career fair dates,Register early.,2025-07-01,2025-07-10,career,medium
List weekend getaway options,Choose resort or homestay.,2025-07-01,2025-07-07,travel,low
Record a new podcast episode,Choose topic and edit audio.,2025-07-01,2025-07-08,hobby,medium
Sync code with remote repo,Pull changes and resolve conflicts.,2025-07-01,2025-07-02,tech,high
Promote recycling campaign in society,Put up posters in lobby.,2025-07-01,2025-07-05,community,medium
Merge pull request after review,Verify checks are passed.,2025-07-01,2025-07-02,project,medium
Revise geography for weekly quiz,Focus on maps and rivers.,2025-07-01,2025-07-06,education,medium
Book physiotherapy follow-up,Check availability.,2025-07-01,2025-07-04,health,medium
Verify PAN card details,Check government portal.,2025-07-01,2025-07-05,finance,low
Clean window tracks,Use brush and vacuum.,2025-07-01,2025-07-03,home,low
Write application for research internship,Highlight academic achievements.,2025-07-01,2025-07-10,career,high
Download e-ticket for weekend journey,Save PDF to phone.,2025-07-01,2025-07-02,travel,low
Practice charcoal shading techniques,Follow tutorial video.,2025-07-01,2025-07-07,hobby,medium
Install TypeScript in project,Update config files.,2025-07-01,2025-07-03,tech,high
Email survey form to society members,Collect responses before Friday.,2025-07-01,2025-07-05,community,medium
Conduct code walkthrough with intern,Explain module logic.,2025-07-01,2025-07-03,work,high
Summarize chapter 3 of economics textbook,Take handwritten notes.,2025-07-01,2025-07-04,education,medium
Check expiry date of first aid kit,Replace if needed.,2025-07-01,2025-07-03,health,low
Update mutual fund SIP amounts,Adjust based on income.,2025-07-01,2025-07-05,finance,medium
Clean air conditioner filters,Run fan-only mode after.,2025-07-01,2025-07-04,home,low
Shortlist companies for summer internship,Research on Glassdoor.,2025-07-01,2025-07-12,career,medium
Book taxi to airport,Use prepaid app.,2025-07-01,2025-07-04,travel,medium
Share new artwork on Behance,Include tags.,2025-07-01,2025-07-07,hobby,low
Debug backend API endpoint,Fix null pointer error.,2025-07-01,2025-07-03,tech,high
Design flyer for blood donation drive,Use Canva template.,2025-07-01,2025-07-06,community,high
Book taxi to airport,Book cab using Ola app to reach airport on time.,2025-07-01,2025-07-04,travel,medium
Share new artwork on Behance,Upload travel sketch and add relevant tags and description.,2025-07-01,2025-07-07,hobby,low
Debug backend API endpoint,Fix null pointer error causing crashes in production.,2025-07-01,2025-07-03,tech,high
Design flyer for blood donation drive,Use Canva templates to create eye-catching flyer.,2025-07-01,2025-07-06,community,high
Submit annual income report,Gather pay slips and update figures in final form.,2025-06-29,2025-07-10,finance,high
Schedule dentist checkup,Call clinic and confirm slot for cleaning and cavity check.,2025-07-03,2025-07-15,health,medium
Organize workspace drawers,Clear old printouts and arrange office supplies neatly.,2025-07-02,2025-07-08,home,low
Review meeting notes with manager,Go over action items and follow-ups from the last meeting.,2025-07-01,2025-07-05,work,medium
Apply for Python certification course,Register on Coursera for Python basics program.,2025-07-01,2025-07-14,education,high
Pay house rent for July,Use UPI app to transfer rent to landlord.,2025-07-01,2025-07-05,finance,high
Water indoor plants,Check soil moisture and water accordingly.,2025-07-01,2025-07-01,home,low
Send thank-you email to interview panel,Express gratitude and reiterate interest in the position.,2025-07-03,2025-07-06,career,high
Plan itinerary for Kerala trip,"List top sights, timings, and places to eat.",2025-07-01,2025-07-20,travel,medium
Finish reading machine learning chapter,Complete supervised learning section before assignment.,2025-07-02,2025-07-07,education,medium
Create budget tracker Excel sheet,"Include income, expenses, savings, and graphs.",2025-06-30,2025-07-05,finance,medium
Update LinkedIn headline and summary,Add new skills and update profile picture.,2025-07-01,2025-07-10,career,medium
Clean balcony and wash outdoor furniture,Scrub chairs and sweep tiles thoroughly.,2025-07-02,2025-07-06,home,low
Submit group project draft,Combine team inputs and finalize first version.,2025-07-01,2025-07-09,project,high
Pick up medicines from pharmacy,Buy supplements and monthly prescriptions.,2025-07-03,2025-07-04,health,medium
Register for UI/UX design webinar,Reserve virtual seat via official portal.,2025-07-01,2025-07-08,education,low
Finish cover letter for internship,Customize message for marketing internship application.,2025-07-02,2025-07-05,career,high
Reboot router and update firmware,Access admin panel and check for updates.,2025-07-03,2025-07-07,tech,medium
Back up project files to Google Drive,Create folder structure and sync latest files.,2025-07-01,2025-07-03,project,high
Buy travel insurance,Compare policies and choose best coverage online.,2025-07-01,2025-07-10,finance,medium
Create morning workout routine,"Include stretching, walks, and light cardio.",2025-07-02,2025-07-07,health,low
Draft email for client proposal,"Include timeline, scope, and pricing clearly.",2025-07-01,2025-07-03,work,high
Look up recipes for healthy snacks,Find three quick options for office munching.,2025-07-04,2025-07-12,personal,low
Install updates for graphic design software,Ensure Figma and Illustrator are current.,2025-07-02,2025-07-06,tech,medium
Read book "Ikigai" before vacation,Finish chapters by end of this weekend.,2025-07-01,2025-07-08,hobby,medium
Book hotel for anniversary trip,Choose property with good reviews in Udaipur.,2025-07-01,2025-07-15,travel,medium
Submit scanned documents to HR,"Send Aadhar, PAN and bank details.",2025-07-01,2025-07-04,work,high
Paint bedroom wall,Pick pastel color and apply two coats.,2025-07-02,2025-07-10,home,medium
Fix broken zipper on duffel bag,Take to local repairs for stitching.,2025-07-02,2025-07-11,personal,low
Help brother with math homework,Teach algebra basics and solve practice questions.,2025-07-01,2025-07-03,education,medium
Schedule morning jogs,Pick days and track runs with smart watch.,2025-07-01,2025-07-31,health,low
Complete module on cloud computing,Finish AWS basics chapter and quiz.,2025-07-04,2025-07-10,tech,high
Prepare slides for weekly team sync,Use bullet points and limit to 10 slides.,2025-07-03,2025-07-06,work,high
Organize photo albums on phone,Sort by date and delete duplicates.,2025-07-02,2025-07-13,personal,low
Fix bugs in weather app UI,Resolve alignment and responsiveness issues.,2025-07-03,2025-07-08,project,high
Visit grandma on weekend,Bring groceries and help sort medications.,2025-07-04,2025-07-06,personal,medium
Create grocery list for week,Add items for three meals per day.,2025-07-01,2025-07-02,home,low
Practice HTML and CSS daily,Spend one hour revising concepts and code samples.,2025-07-01,2025-07-31,education,medium
Write blog post on freelancing tips,Share experiences and productivity hacks.,2025-07-02,2025-07-12,hobby,medium
Book physiotherapy session,Check appointment availability online and confirm slot.,2025-07-03,2025-07-15,health,medium
Clean old files from downloads folder,Sort and archive important documents only.,2025-07-01,2025-07-03,tech,low
Volunteer at animal shelter,Confirm shift timings for Sunday afternoon.,2025-07-01,2025-07-06,community,medium
Create profile on GitHub,Upload sample projects and write descriptions.,2025-07-04,2025-07-10,career,medium
Buy shoes for trek,Choose waterproof and ankle-length hiking option.,2025-07-02,2025-07-11,travel,medium
Prepare project report introduction,"Include project scope, goals and objectives.",2025-07-04,2025-07-09,education,high
Renew antivirus subscription,Use email link or official website.,2025-07-03,2025-07-07,tech,high
Call plumber to fix drain blockage,Schedule visit for weekend morning.,2025-07-02,2025-07-06,home,medium
Donate old books and clothes,Pack and schedule pickup via NGO site.,2025-07-01,2025-07-10,community,low
Research SIP investment options,Compare mutual funds online for low-risk plans.,2025-07-02,2025-07-15,finance,medium
Submit abstract for AI workshop,Write and send summary of research idea.,2025-07-04,2025-07-12,education,high
Defrost and clean freezer,Turn off freezer and remove ice and old food.,2025-07-03,2025-07-07,home,low
Review credit card statement,Check recent transactions for any discrepancies.,2025-07-04,2025-07-08,finance,high
Attend CPR training workshop,Join community center event for first aid skills.,2025-07-03,2025-07-06,health,medium
Finalize team branding colors,Pick color palette for project design system.,2025-07-01,2025-07-05,project,medium
Write pitch for startup idea,"Outline concept, audience, and monetization model.",2025-07-02,2025-07-09,career,high
Research next career move,"Explore industry changes, job roles, and skill trends.",2025-07-03,2025-07-20,career,medium
Compile user feedback from beta app,Summarize user suggestions and reported issues.,2025-07-04,2025-07-10,project,high
Get haircut before trip,Book appointment at usual barber.,2025-07-01,2025-07-05,personal,low
Change Wi-Fi password,Update router with new secure credentials.,2025-07-03,2025-07-06,tech,medium
